Sprint	Title	URL	Assignees	Status	Task Type	Nature	Priority	Estimated time	Actual time
	UI for Recipes comments page	https://github.com/feedme-swent-epfl/feedme-android/issues/60	JeannedeM	Product Backlog	Frontend	Sprint Task	P1	7	
	Error handling MLKit		JeannedeM	Product Backlog	Backend	Maintenance	P2	5	
	Google ML Kit : Image Labeling	https://github.com/feedme-swent-epfl/feedme-android/issues/64	JeannedeM	Product Backlog	Backend	Sprint Task	P2	12	
	User is able to filter recipes			Product Backlog	Backend	User Story	P0		
	User is able to rate, comment recipes, and provide feedback to users			Product Backlog	Backend	User Story	P0		
	User is able to see personalized recipes suggestions			Product Backlog	Backend	User Story	P1		
	User is able to use the app in offline mode			Product Backlog	Backend	User Story	P1		
	User is able to download grocery list of missing ingredients			Product Backlog	Backend	User Story	P2		
	User is able to use pictures to identify ingredients			Product Backlog	Backend	User Story	P2		
	User is able to take a picture of a typed / handwritten text to identify ingredients			Product Backlog	Backend	User Story	P2		
	User can find nearby grocery shops			Product Backlog	Backend	User Story	P3		
	User can choose their preferred language			Product Backlog	Backend	User Story	P3		
Sprint 6	User is able to scan barcodes to identify ingredients			Done in Sprint 6	Backend	User Story	P2		
Sprint 6	User is able to sign-out or delete profile			Done in Sprint 6	Backend	User Story	P1		
Sprint 6	User is able to scan barcodes and scan text			Done in Sprint 6	Backend	User Story	P0		
Sprint 6	User is able to upload a profile picture			Done in Sprint 6	Backend	User Story	P0		
Sprint 6	User is able to create profile as a new user			Done in Sprint 6	Backend	User Story	P0		
Sprint 6	User is able to follow and remove follower			Done in Sprint 6	Frontend	User Story	P0		
Sprint 6	Update architecture diagram	https://github.com/feedme-swent-epfl/feedme-android/issues/114	mche3kek	Done in Sprint 6	Backend	Sprint Task	P0	0.75	0.5
Sprint 6	Implement product name extraction from barcode	https://github.com/feedme-swent-epfl/feedme-android/issues/109	JeannedeM	Done in Sprint 6	Backend	Sprint Task	P2	7	9
Sprint 6	Store profile picture in Firestore	https://github.com/feedme-swent-epfl/feedme-android/issues/65	mche3kek	Done in Sprint 6	Backend	Sprint Task	P2	8	10
Sprint 6	Display pictures selected from gallery	https://github.com/feedme-swent-epfl/feedme-android/issues/120	mche3kek	Done in Sprint 6	Frontend	Sprint Task	P0	5	8
Sprint 6	View Full Recipe from Profile page - Navigation	https://github.com/feedme-swent-epfl/feedme-android/issues/117	ohamz	Done in Sprint 6	Backend	Sprint Task	P0	5	4
Sprint 6	UI Recipe Thumbnail for the Profile	https://github.com/feedme-swent-epfl/feedme-android/issues/118	ohamz	Done in Sprint 6	Frontend	Sprint Task	P0	5	4
Sprint 6	Create a Interactive Delete button in the setting page	https://github.com/feedme-swent-epfl/feedme-android/issues/123	FacerOfGod	Done in Sprint 6	Backend	Sprint Task	P1	8	9
Sprint 6	Implement the UI of the create profile screen	https://github.com/feedme-swent-epfl/feedme-android/issues/106	xrsula	Done in Sprint 6	Frontend	Sprint Task	P0	6	10
Sprint 6	Fixing the UI of the FeedMe login screen	https://github.com/feedme-swent-epfl/feedme-android/issues/101	0marwa	Done in Sprint 6	Frontend	Sprint Task	P1	5	4
